Date,Tm,Opp,Quarter,Time,Down,Yards,Location,Score,Detail,Yds,EPB,EPA,Diff
2017-12-10,Browns,Packers,5,8:43,3,2,CLE 33,21-21,DeShone Kizer pass incomplete short middle intended for Seth Devalve is intercepted by Josh Jones at CLE-42,,0.430,-2.790,-3.22
2017-12-10,Colts,Bills,5,4:07,1,10,CLT 10,7-7,Frank Gore right guard for 5 yards (tackle by Jerry Hughes),5,-0.380,-0.350,.03
2017-12-10,Colts,Bills,5,3:35,2,5,CLT 15,7-7,Frank Gore middle for 10 yards (tackle by Matt Milano),10,-0.350,0.610,.96
2017-12-10,Packers,Browns,5,8:28,1,10,CLE 42,21-21,Brett Hundley pass complete short middle to Jamaal Williams for 6 yards (tackle by James Burgess),6,2.790,3.050,.26
2017-12-10,Colts,Bills,5,3:00,1,10,CLT 25,7-7,Jacoby Brissett pass incomplete short middle intended for Jack Doyle,,0.610,0.060,-0.55
2017-12-10,Packers,Browns,5,7:53,2,4,CLE 36,21-21,Jamaal Williams right guard for 2 yards (tackle by Christian Kirksey),2,3.050,0.000,-3.05
2017-12-10,Colts,Bills,5,2:55,2,10,CLT 25,7-7,Jacoby Brissett pass incomplete short right intended for T.Y. Hilton (defended by Kyle Williams),,0.060,-0.620,-0.68
2017-12-10,Colts,Bills,5,2:50,3,10,CLT 25,7-7,Jacoby Brissett pass complete short right to Chester Rogers for 6 yards (tackle by Micah Hyde),6,-0.620,0.000,.62
2017-12-10,Packers,Browns,5,7:12,3,2,CLE 34,21-21,Brett Hundley pass complete short middle to Davante Adams for 5 yards (tackle by Jason McCourty),5,2.610,3.640,1.03
2017-12-10,Packers,Browns,5,6:34,1,10,CLE 29,21-21,Jamaal Williams left guard for 1 yard (tackle by Larry Ogunjobi),1,3.640,3.240,-0.40
2017-12-10,Colts,Bills,5,2:35,4,4,CLT 31,7-7,Rigoberto Sanchez punts 34 yards,,-1.310,-1.270,.04
2017-12-10,Packers,Browns,5,5:53,2,9,CLE 28,21-21,Brett Hundley pass complete short right to Randall Cobb for 3 yards (tackle by Jamar Taylor),3,3.240,0.000,-3.24
2017-12-10,Bills,Colts,5,2:25,1,10,BUF 35,7-7,Joe Webb pass complete short right to Charles Clay for 1 yard (tackle by Matthias Farley),1,1.270,0.860,-0.41
2017-12-10,Bills,Colts,5,2:21,2,9,BUF 36,7-7,Joe Webb right tackle for 3 yards (tackle by Jonathan Bostic and Antonio Morrison),3,0.860,0.560,-0.30
2017-12-10,Packers,Browns,5,5:12,3,6,CLE 25,21-27,Brett Hundley pass complete short left to Davante Adams for 25 yards touchdown,25,2.940,7.000,4.06
2017-12-10,Bills,Colts,5,2:00,3,6,BUF 39,7-7,Joe Webb pass complete deep right to Deonte Thompson for 34 yards,34,0.560,3.780,3.22
2017-12-10,Bills,Colts,5,1:51,1,10,CLT 27,7-7,LeSean McCoy right guard for 9 yards (tackle by Jabaal Sheard),9,3.780,4.530,.75
2017-12-10,Bills,Colts,5,1:46,2,1,CLT 18,7-7,LeSean McCoy middle for -3 yards (tackle by Quincy Wilson),-3,4.530,0.000,-4.53
2017-12-10,Bills,Colts,5,1:39,3,4,CLT 21,13-7,LeSean McCoy middle for 21 yards touchdown,21,3.340,7.000,3.66
2017-12-03,Buccaneers,Packers,5,10:00,,0,TAM 35,20-20,Patrick Murray kicks off 64 yards returned by Trevor Davis for 27 yards (tackle by Chris Godwin),,0.000,-0.810,-0.81
2017-12-03,Packers,Buccaneers,5,9:53,1,10,GNB 28,20-20,Jamaal Williams right tackle for 2 yards (tackle by Keith Tandy),2,0.810,0.530,-0.28
2017-12-03,Packers,Buccaneers,5,9:20,2,8,GNB 30,20-20,Jamaal Williams left tackle for 4 yards (tackle by Will Clarke),4,0.530,0.370,-0.16
2017-12-03,Packers,Buccaneers,5,8:38,3,4,GNB 34,20-20,Brett Hundley for 7 yards (tackle by Keith Tandy),7,0.370,1.660,1.29
2017-12-03,Packers,Buccaneers,5,8:04,1,10,GNB 41,20-20,Brett Hundley pass incomplete deep left intended for Jordy Nelson,,1.660,1.120,-0.54
2017-12-03,Packers,Buccaneers,5,7:58,2,10,GNB 41,20-20,Brett Hundley right end for 18 yards (tackle by Lavonte David),18,1.120,2.850,1.73
2017-12-03,Packers,Buccaneers,5,7:20,1,10,TAM 41,20-20,Jamaal Williams left tackle for 9 yards (tackle by Keith Tandy and Kwon Alexander),9,2.850,3.520,.67
2017-12-03,Packers,Buccaneers,5,6:42,2,1,TAM 32,20-20,Brett Hundley pass complete short right to Jamaal Williams for 12 yards (tackle by Kwon Alexander),12,3.520,4.240,.72
2017-12-03,Packers,Buccaneers,5,6:08,1,10,TAM 20,26-20,Aaron Jones left end for 20 yards touchdown,20,4.240,7.000,2.76
2017-11-19,Giants,Chiefs,5,10:00,,0,NYG 35,9-9,Aldrick Rosas kicks off 61 yards returned by Akeem Hunt for 18 yards (tackle by Akeem Ayers),,0.000,-0.410,-0.41
2017-11-19,Chiefs,Giants,5,9:53,1,10,KAN 22,9-9,Kareem Hunt middle for 2 yards (tackle by Damon Harrison and Calvin Munson),2,0.410,0.140,-0.27
2017-11-19,Chiefs,Giants,5,9:07,2,8,KAN 24,9-9,Alex Smith pass complete short right to Ross Travis for 11 yards (tackle by Calvin Munson and Dominique Rodgers-Cromartie),11,0.140,1.270,1.13
2017-11-19,Chiefs,Giants,5,8:36,1,10,KAN 35,9-9,Kareem Hunt left tackle for no gain (tackle by Olivier Vernon and Dalvin Tomlinson),0,1.270,0.720,-0.55
2017-11-19,Chiefs,Giants,5,7:56,2,10,KAN 35,9-9,Kareem Hunt left tackle for 8 yards (tackle by Calvin Munson and Darian Thompson). Penalty on Laurent Duvernay-Tardif: Offensive Holding 10 yards,8,0.720,0.450,-0.27
2017-11-19,Chiefs,Giants,5,7:34,2,12,KAN 33,9-9,Alex Smith pass complete short right to Tyreek Hill for 2 yards (tackle by Dominique Rodgers-Cromartie and Janoris Jenkins),2,0.450,0.040,-0.41
2017-11-19,Chiefs,Giants,5,6:48,3,10,KAN 35,9-9,Alex Smith pass complete short right to Charcandrick West for 3 yards (tackle by Dominique Rodgers-Cromartie),3,0.040,-0.850,-0.89
2017-11-19,Chiefs,Giants,5,6:06,4,7,KAN 38,9-9,Dustin Colquitt punts 52 yards returned by Kalif Raymond for 8 yards (tackle by Eric Murray),,-0.850,-0.040,.81
2017-11-19,Giants,Chiefs,5,5:54,1,10,NYG 18,9-9,Orleans Darkwa right guard for 3 yards (tackle by Chris Jones and Rakeem Nunez-Roches),3,0.040,0.010,-0.03
2017-11-19,Giants,Chiefs,5,5:13,2,7,NYG 21,9-9,Orleans Darkwa left guard for 10 yards (tackle by Reggie Ragland),10,0.010,1.000,.99
2017-11-19,Giants,Chiefs,5,4:30,1,5,NYG 36,9-9,Eli Manning pass complete short left to Tavarres King for 13 yards (tackle by Daniel Sorensen),13,1.730,2.190,.46
2017-11-19,Giants,Chiefs,5,4:16,1,10,NYG 49,9-9,Eli Manning pass complete short middle to Roger Lewis for 10 yards (tackle by Daniel Sorensen and Reggie Ragland),10,2.190,2.850,.66
2017-11-19,Giants,Chiefs,5,3:35,1,10,KAN 41,9-9,Eli Manning pass complete short left to Wayne Gallman for 3 yards (tackle by Kevin Pierre-Louis),3,2.850,2.710,-0.14
2017-11-19,Giants,Chiefs,5,3:00,2,7,KAN 38,9-9,Wayne Gallman right tackle for 2 yards (tackle by Justin Houston),2,2.710,2.280,-0.43
2017-11-19,Giants,Chiefs,5,2:17,3,5,KAN 36,9-9,Eli Manning pass incomplete deep left intended for Evan Engram,,2.280,0.000,-2.28
2017-11-19,Giants,Chiefs,5,2:12,4,5,KAN 36,9-9,Eli Manning pass complete deep left to Roger Lewis for 34 yards (tackle by Phillip Gaines). Penalty on Phillip Gaines: Defensive Pass Interference (Declined),34,0.880,6.740,5.86
